,data1,data2,data3,data4,data5,data6,data7,data8,label
0,-3942647,-7027152,-4464964,-7267352,-6582469,-6200037,-6188843,-8071469,1
1,-3903992,-1290897,-4307667,-1694888,-694409,-4525380,-4101463,-8095313,1
2,-3900671,1007641,-4205996,1021297,1014737,-2772669,-2581346,-8131541,1
3,-3932224,-2652909,-4253621,-2194006,-3044243,-2776369,-3079314,-8148074,1
4,-3969859,-8181327,-4440284,-7914887,-8380216,-5065627,-5624136,-8107990,1
5,-3942129,-7027214,-4465024,-7267381,-6582161,-6198932,-6189431,-8071122,1
6,-3903512,-1289627,-4307699,-1694341,-694049,-4525223,-4101505,-8095053,1
7,-3900284,1007665,-4206091,1021191,1014203,-2772451,-2581571,-8131384,1
8,-3931770,-2653531,-4253660,-2194259,-3045755,-2777053,-3079632,-8147831,1
9,-3969460,-8181973,-4440412,-7915129,-8380946,-5068769,-5624433,-8107754,1
10,-3941787,-7027439,-4465249,-7267956,-6581699,-6201888,-6189939,-8070937,1
11,-3903161,-1288945,-4307874,-1693760,-692417,-4525421,-4101209,-8094905,1
12,-3899969,1007090,-4206313,1020833,1013845,-2772110,-2581727,-8131256,1
13,-3969007,-8181391,-4440448,-7914295,-8380653,-5068489,-5624415,-8107506,1
14,-3941304,-7028519,-4465327,-7268994,-6582322,-6202365,-6190784,-8070633,1
15,-3902596,-1290013,-4307877,-1694886,-692632,-4524652,-4102029,-8094507,1
16,-3899451,1006712,-4206353,1020230,1013263,-2771037,-2582684,-8130889,1
17,-3930939,-2653686,-4253863,-2194759,-3046278,-2776136,-3080205,-8147355,1
18,-3968562,-8181041,-4440479,-7913800,-8380449,-5068404,-5624521,-8107242,1
19,-3940940,-7029491,-4465489,-7270068,-6583336,-6202967,-6191538,-8070407,1
20,-3902244,-1290781,-4308062,-1695798,-693236,-4525193,-4102389,-8094286,1
21,-3899006,1006176,-4206414,1019746,1012498,-2771144,-2582819,-8130576,1
22,-3930442,-2654105,-4253868,-2195194,-3047377,-2775943,-3080237,-8146984,1
23,-3967989,-8180639,-4440388,-7913196,-8380347,-5067330,-5623894,-8106814,1
24,-3940362,-7029991,-4465435,-7270653,-6583665,-6202206,-6191386,-8069968,1
25,-3901687,-1291092,-4308019,-1696491,-694341,-4524392,-4102219,-8093881,1
26,-3898489,1005541,-4206381,1019240,1012109,-2770132,-2582697,-8130201,1
27,-3930006,-2654820,-4253914,-2195658,-3047409,-2775303,-3080396,-8146681,1
28,-3967592,-8180466,-4440474,-7913241,-8380336,-5066381,-5623282,-8106567,1
29,-3940009,-7030460,-4465587,-7270843,-6584158,-6201375,-6190729,-8069777,1
30,-3901274,-1292303,-4308121,-1697237,-694631,-4523904,-4102106,-8093605,1
31,-3898079,1005003,-4206469,1018449,1011534,-2769895,-2582681,-8129911,1
32,-3929505,-2654993,-4253905,-2196851,-3047819,-2775407,-3080521,-8146306,1
33,-3967106,-8179899,-4440423,-7912423,-8379749,-5066291,-5622906,-8106277,1
34,-3939606,-7032248,-4465684,-7272303,-6586035,-6202099,-6191161,-8069537,1
35,-3900838,-1295026,-4308231,-1699865,-696971,-4525176,-4102889,-8093288,1
36,-3897592,1004225,-4206469,1017853,1010971,-2770727,-2582825,-8129535,1
37,-3928993,-2656654,-4253901,-2197597,-3049402,-2776487,-3081005,-8145898,1
38,-3966608,-8180834,-4440467,-7913404,-8380656,-5067522,-5623419,-8105930,1
39,-3938995,-7031916,-4465609,-7271936,-6585867,-6202357,-6191131,-8069088,1
40,-3900332,-1295380,-4308246,-1699947,-697287,-4525404,-4103227,-8092916,1
41,-3897163,1003749,-4206501,1017317,1010191,-2770231,-2582763,-8129270,1
